Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8, C9",CP_Elec_4x5.4,5,10uF,C72485
C10,0603,1,100nF,C59461
"C11, C12, C4, C6, C7",0603,5,10uF,C1691
C5,0603,1,22uF,C59461
CN1,AUDIO-SMD_PJ-320D-1,1,PJ-320D,C431535
"R1, R8",1206,2,1M,C17927
"R2, R3",0603,2,1k,C2907002
"R4, R6",0603,2,470,C23179
"R5, R7",RES-TH_RK09K1130AAU,2,RK09K1130081,C470311
U2,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ICL7660M/TR,C356724
U3,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,XC62KN3302PR-G,C165901
U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U5,PWRM-TH_DEXU_K780XM-1000R3,1,K7805M-1000R3_C41361052,C41361052
U6,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,LM321H-TR,C2927688
