Designator,Mid X,Mid Y,Rotation,Layer
C1,1.0,-31.5,180.0,top
C10,-23.0,-7.500001,45.0,top
C11,-21.499999,8.5,135.0,top
C12,-26.999999,-7.5,180.0,top
C2,-6.0,-30.2,90.0,top
C3,8.5,-30.0,0.0,top
C4,19.5,-9.5,135.0,top
C5,16.5,-14.0,45.0,top
C6,-13.0,-25.0,90.0,top
C7,-7.0,-24.0,90.0,top
C8,10.5,-20.0,45.0,top
C9,14.0,-24.5,45.0,top
CN1,-27.123112,0.0,0.0,top
R1,-30.0,-9.000001,270.0,top
R2,-25.5,-10.500001,90.0,top
R3,-24.0,-12.500001,270.0,top
R4,-24.0,11.5,315.0,top
R5,-17.782842712474615,-17.782842712474615,135.0,top
R6,-22.0,5.0,270.0,top
R7,-17.665057712474614,17.947220712474614,45.0,top
R8,-27.5,-11.0,90.0,top
U2,-0.5,-25.0,270.0,top
U3,5.5,-24.0,270.0,top
U4,-10.0,-25.0,0.0,top
U5,20.350952,-15.850952,225.0,top
U6,-21.000001,-9.5,135.0,top
